customer_id;first_name;last_name;gender;DOB;job_title;job_industry_category;wealth_segment;deceased_indicator;owns_car;address;postcode;state;country;property_valuation
1;Laraine;Medendorp;F;1953-10-12;Executive Secretary;Health;Mass Customer;N;Yes;060 Morning Avenue;2016;New South Wales;Australia;10
2;Eli;Bockman;Male;1980-12-16;Administrative Officer;Financial Services;Mass Customer;N;Yes;6 Meadow Vale Court;2153;New South Wales;Australia;10
3;Arlin;Dearle;Male;1954-01-20;Recruiting Manager;Property;Mass Customer;N;Yes;0 Holy Cross Court;4211;QLD;Australia;9
4;Talbot;;Male;1961-10-03;;IT;Mass Customer;N;No;17979 Del Mar Point;2448;New South Wales;Australia;4
5;Sheila-kathryn;Calton;Female;1977-05-13;Senior Editor;n/a;Affluent Customer;N;Yes;9 Oakridge Court;3216;VIC;Australia;9
6;Curr;Duckhouse;Male;1966-09-16;;Retail;High Net Worth;N;Yes;4 Delaware Trail;2210;New South Wales;Australia;9
7;Fina;Merali;Female;1976-02-23;;Financial Services;Affluent Customer;N;Yes;49 Londonderry Lane;2650;New South Wales;Australia;4
8;Rod;Inder;Male;1962-03-30;Media Manager I;n/a;Mass Customer;N;No;97736 7th Trail;2023;New South Wales;Australia;12
9;Mala;Lind;Female;1973-03-10;Business Systems Development Analyst;Argiculture;Affluent Customer;N;Yes;93405 Ludington Park;3044;VIC;Australia;8
10;Fiorenze;Birdall;Female;1988-10-11;Senior Quality Engineer;Financial Services;Mass Customer;N;Yes;44339 Golden Leaf Alley;4557;QLD;Australia;4
11;Uriah;Bisatt;Male;1954-04-30;;Property;Mass Customer;N;No;2 Sutherland Street;3799;VIC;Australia;6
12;Sawyere;Flattman;Male;1994-07-21;Nuclear Power Engineer;Manufacturing;Mass Customer;N;No;9 Mcbride Trail;2760;New South Wales;Australia;8
13;Gabriele;Norcross;Male;1955-02-15;Developer I;Financial Services;High Net Worth;N;Yes;9861 New Castle Avenue;2428;New South Wales;Australia;9
14;Rayshell;Kitteman;Female;1983-03-25;Account Executive;Financial Services;Affluent Customer;N;No;52 Moland Street;3331;VIC;Australia;4
15;Erroll;Radage;Male;2000-07-13;Junior Executive;Manufacturing;Mass Customer;N;No;82391 Kensington Lane;3058;VIC;Australia;9
16;Harlin;Parr;Male;1977-02-27;Media Manager IV;n/a;Mass Customer;N;Yes;092 2nd Alley;2135;New South Wales;Australia;12
17;Heath;Faraday;Male;1962-03-19;Sales Associate;n/a;Affluent Customer;N;Yes;59 Spaight Circle;2233;New South Wales;Australia;9
18;Marjie;Neasham;Female;1967-07-06;Professor;n/a;Affluent Customer;N;No;032 Bartelt Crossing;2444;New South Wales;Australia;8
19;Sorcha;Keyson;Female;2001-04-15;Geological Engineer;Manufacturing;High Net Worth;N;No;18 Jenna Center;2650;New South Wales;Australia;7
20;Basile;Firth;Male;1980-08-13;Project Manager;Manufacturing;Mass Customer;N;No;3 Cordelia Plaza;2153;New South Wales;Australia;10
21;Mile;Cammocke;Male;1980-09-20;Safety Technician I;Manufacturing;Affluent Customer;N;Yes;28 5th Center;4413;QLD;Australia;3
22;Deeanne;Durtnell;Female;1962-12-10;;IT;Mass Customer;N;No;52 Carey Alley;4740;QLD;Australia;5
23;Olav;Polak;Male;1995-02-10;;n/a;High Net Worth;N;Yes;96 Texas Plaza;3218;VIC;Australia;7
24;Kim;Skpsey;Female;1977-12-03;Research Assistant I;Argiculture;Mass Customer;N;Yes;48 Eagan Avenue;4868;QLD;Australia;4
25;Geoff;Assaf;Male;1976-12-02;Accounting Assistant III;Financial Services;Mass Customer;N;Yes;9 Buell Park;4116;QLD;Australia;7
26;Trixi;Ginnelly;Female;1978-06-10;Editor;Financial Services;Mass Customer;N;Yes;02663 Buell Parkway;2519;New South Wales;Australia;11
27;Garvin;Klees;Male;1978-09-25;Research Nurse;Health;Mass Customer;N;Yes;2294 Pleasure Place;2135;New South Wales;Australia;12
28;Fee;Zellmer;Male;1973-09-30;Senior Quality Engineer;Health;Affluent Customer;N;Yes;2951 Petterle Place;2756;New South Wales;Australia;9
